observed_at,collected_at,channel,keyword_raw,entity,metric_type,metric_value,metadata,run_id
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[2PACK] 수피마 코튼 티셔츠,29cm:1501688,review_count,783.0,"{""brand_eng"": ""COOR"", ""brand_kor"": ""쿠어"", ""brand_no"": 15326, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""반소매 티셔츠"", ""category3_code"": 272103101, ""is_new"": false, ""item_no"": 1501688, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 45, ""sale_price"": 44900, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1501688""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[2PACK] 수피마 코튼 티셔츠,29cm:1501688@272103100,rank,55.0,"{""brand_eng"": ""COOR"", ""brand_kor"": ""쿠어"", ""brand_no"": 15326, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""반소매 티셔츠"", ""category3_code"": 272103101, ""is_new"": false, ""item_no"": 1501688, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 45, ""sale_price"": 44900, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1501688""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TG1-SH08 프렌치 스트라이프 셔츠 - [그레이 그린],29cm:1678501,heart_count,10280.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1678501, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 50750, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1678501""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TG1-SH08 프렌치 스트라이프 셔츠 - [그레이 그린],29cm:1678501,review_count,1579.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1678501, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 50750, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1678501""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TG1-SH08 프렌치 스트라이프 셔츠 - [그레이 그린],29cm:1678501@272103100,rank,38.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1678501, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 50750, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1678501""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TF5-SH07 페이퍼셔츠 (12 Color),29cm:1911054,heart_count,66199.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1911054, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 32, ""sale_price"": 40600, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1911054""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TF5-SH07 페이퍼셔츠 (12 Color),29cm:1911054,review_count,21854.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1911054, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 32, ""sale_price"": 40600, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1911054""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TF5-SH07 페이퍼셔츠 (12 Color),29cm:1911054@272103100,rank,34.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1911054, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 32, ""sale_price"": 40600, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1911054""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:15+00:00,commerce_rank,Raglan Sleeve Cookie T-shirt (Cobalt blue/Red),29cm:1949480,heart_count,19877.0,"{""brand_eng"": ""GREENBUTTER"", ""brand_kor"": ""그린버터"", ""brand_no"": 19819, ""category1"": ""여성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 268103102, ""is_new"": false, ""item_no"": 1949480, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""268103100"", ""ranking_category_name"": ""여성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 28, ""sale_price"": 37440, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1949480""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:15+00:00,commerce_rank,Raglan Sleeve Cookie T-shirt (Cobalt blue/Red),29cm:1949480,review_count,1372.0,"{""brand_eng"": ""GREENBUTTER"", ""brand_kor"": ""그린버터"", ""brand_no"": 19819, ""category1"": ""여성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 268103102, ""is_new"": false, ""item_no"": 1949480, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""268103100"", ""ranking_category_name"": ""여성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 28, ""sale_price"": 37440, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1949480""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:15+00:00,commerce_rank,Raglan Sleeve Cookie T-shirt (Cobalt blue/Red),29cm:1949480@268103100,rank,88.0,"{""brand_eng"": ""GREENBUTTER"", ""brand_kor"": ""그린버터"", ""brand_no"": 19819, ""category1"": ""여성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 268103102, ""is_new"": false, ""item_no"": 1949480, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""268103100"", ""ranking_category_name"": ""여성의류>상의"", ""review_avg"": 4.5, ""sale_percent"": 28, ""sale_price"": 37440, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1949480""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,폴로 롱슬리브 포플린 셔츠 (WHITE),29cm:1949643,heart_count,881.0,"{""brand_eng"": ""POLO RALPH LAUREN"", ""brand_kor"": ""폴로 랄프 로렌"", ""brand_no"": 6890, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1949643, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 0, ""sale_price"": 219000, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1949643""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,폴로 롱슬리브 포플린 셔츠 (WHITE),29cm:1949643,review_count,16.0,"{""brand_eng"": ""POLO RALPH LAUREN"", ""brand_kor"": ""폴로 랄프 로렌"", ""brand_no"": 6890, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1949643, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 0, ""sale_price"": 219000, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1949643""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,폴로 롱슬리브 포플린 셔츠 (WHITE),29cm:1949643@272103100,rank,44.0,"{""brand_eng"": ""POLO RALPH LAUREN"", ""brand_kor"": ""폴로 랄프 로렌"", ""brand_no"": 6890, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1949643, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 0, ""sale_price"": 219000, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1949643""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,ASKIN LOGO LONG SLEEVE (GREY),29cm:1969327,heart_count,612.0,"{""brand_eng"": ""GOYOWEAR"", ""brand_kor"": ""고요웨어"", ""brand_no"": 16187, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 티셔츠"", ""category3_code"": 272103102, ""is_new"": true, ""item_no"": 1969327, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 41650, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1969327""}",2026-09-06T08:07:14+00:00_6caed517
